,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,合计,0项,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,星期日,,,星期一,,,星期二,,,星期三,,,星期四,,,星期五,,,星期六,,,,,,上课,,,,,,,,
,,,,,,,,,,,,,,,,,1,劳动节,,2,十六,,,,,直播,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,体验类活动,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,十七,,4,青年节,,5,立夏,,6,二十,,7,廿一,,8,廿二,,9,廿三,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,AI 常规课,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,@Tina(Tina),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,母亲节,,11,廿五,,12,护士节,,13,廿七,,14,廿八,,15,廿九,,16,三十,,,,,,,,,,,,,
,,,研学营+黑客松直播,,,,,,华盛怀少课程,,,,,,凯德长期成效报告交付凯德,,,AI 备赛营,,,AI 常规课,,,,,,,,,,,,,
,,,@Tracy安超,,,,,,@Tracy安超,,,,,,@何潮航 Cooper,,,@何潮航 Cooper,,,@Tina(Tina),,,,,,,,,,,,,
,,,,,,艾尔建茶马古道团建 探路@Maggie,,,,,,,,, 嘉悦@Maggie,,,,,,,,,,,,,,,,,,,
,,17,四月,,18,初二,,19,初三,,20,初四,,21,小满,,22,初六,,23,初七,,,,,,,,,,,,,
,,,可口可乐月月营,,,,,,华盛怀少课程,,,朝夕有爱直播,,,"预设：凯德长期志愿者项目
总结会议（大会+小会）",,,AI 备赛营,,,AI 常规课,,,,,,,,,,,,,
,,,@Tracy安超,,,,,,@Tracy安超,,,@小E,,,@何潮航 Cooper,,,@何潮航 Cooper,,,@Tina(Tina),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,初八,,25,初九,,26,初十,,27,十一,,28,十二,,29,十三,,30,十四,,,,,,,,,,,,,
,,,新加坡 AI 中国 Learning Journey之旅,,,,,,,,,,,,,,,,,,AI 常规课,,,,,,,,,,,,,
,,,@Maggie,,,,,,,,,,,,,,,AI 备赛营,,,@Tina(Tina),,,,,,,,1,,,,,
,,,,,,,,,华盛怀少课程,,,,,,,,,@何潮航 Cooper,,,,,,,,,,,,,,,,
,,31,十五,,,,,,@Tracy安超,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 朝夕有爱敬老院活动,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,@小E(小E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
